policy_id,title,region,year,status,stakeholders,focus_area,funding_million_usd,impact_score,summary,goals,full_text
PV1001,Rural Livelihood Mission 1,India,2018,Active,"Ministry of Rural Development, NGOs",employment,45.3,0.88,This policy aims to reduce poverty by enhancing employment opportunities in India.,Target: Reduce poverty levels by 30% within 5 years.,"This policy aims to reduce poverty by enhancing employment opportunities in India. Target: Reduce poverty levels by 30% within 5 years. Implementation partners include Ministry of Rural Development, NGOs."
PV1002,Microcredit Initiative 2,Kenya,2020,Draft,"World Bank, Local Governments",microfinance,32.8,0.71,This policy aims to reduce poverty by enhancing microfinance opportunities in Kenya.,Target: Reduce poverty levels by 25% within 6 years.,"This policy aims to reduce poverty by enhancing microfinance opportunities in Kenya. Target: Reduce poverty levels by 25% within 6 years. Implementation partners include World Bank, Local Governments."
PV1003,Food Security Program 3,Nigeria,2019,Implemented,"Community Cooperatives, Self-Help Groups",nutrition,12.5,0.63,This policy aims to reduce poverty by enhancing nutrition opportunities in Nigeria.,Target: Reduce poverty levels by 20% within 4 years.,"This policy aims to reduce poverty by enhancing nutrition opportunities in Nigeria. Target: Reduce poverty levels by 20% within 4 years. Implementation partners include Community Cooperatives, Self-Help Groups."
PV1004,Skill Development Project 4,Bangladesh,2021,Active,"UNDP, State Departments",rural development,21.9,0.79,This policy aims to reduce poverty by enhancing rural development opportunities in Bangladesh.,Target: Reduce poverty levels by 40% within 7 years.,"This policy aims to reduce poverty by enhancing rural development opportunities in Bangladesh. Target: Reduce poverty levels by 40% within 7 years. Implementation partners include UNDP, State Departments."
PV1005,Community Development Scheme 5,Ghana,2017,Under Review,"Social Welfare Boards, Microfinance Institutions",women empowerment,16.7,0.57,This policy aims to reduce poverty by enhancing women empowerment opportunities in Ghana.,Target: Reduce poverty levels by 35% within 5 years.,"This policy aims to reduce poverty by enhancing women empowerment opportunities in Ghana. Target: Reduce poverty levels by 35% within 5 years. Implementation partners include Social Welfare Boards, Microfinance Institutions."
PV1006,Microcredit Initiative 6,Nepal,2016,Active,"UNDP, State Departments",microfinance,28.3,0.69,This policy aims to reduce poverty by enhancing microfinance opportunities in Nepal.,Target: Reduce poverty levels by 40% within 5 years.,"This policy aims to reduce poverty by enhancing microfinance opportunities in Nepal. Target: Reduce poverty levels by 40% within 5 years. Implementation partners include UNDP, State Departments."
PV1007,Rural Livelihood Mission 7,Brazil,2014,Active,"Ministry of Rural Development, NGOs",rural development,55.2,0.82,This policy aims to reduce poverty by enhancing rural development opportunities in Brazil.,Target: Reduce poverty levels by 20% within 4 years.,"This policy aims to reduce poverty by enhancing rural development opportunities in Brazil. Target: Reduce poverty levels by 20% within 4 years. Implementation partners include Ministry of Rural Development, NGOs."
PV1008,Food Security Program 8,South Africa,2015,Draft,"Community Cooperatives, Self-Help Groups",nutrition,9.6,0.54,This policy aims to reduce poverty by enhancing nutrition opportunities in South Africa.,Target: Reduce poverty levels by 15% within 3 years.,"This policy aims to reduce poverty by enhancing nutrition opportunities in South Africa. Target: Reduce poverty levels by 15% within 3 years. Implementation partners include Community Cooperatives, Self-Help Groups."
PV1009,Skill Development Project 9,Indonesia,2022,Implemented,"World Bank, Local Governments",employment,44.1,0.91,This policy aims to reduce poverty by enhancing employment opportunities in Indonesia.,Target: Reduce poverty levels by 45% within 6 years.,"This policy aims to reduce poverty by enhancing employment opportunities in Indonesia. Target: Reduce poverty levels by 45% within 6 years. Implementation partners include World Bank, Local Governments."
PV1010,Community Development Scheme 10,Mexico,2023,Active,"UNDP, State Departments",rural development,38.9,0.77,This policy aims to reduce poverty by enhancing rural development opportunities in Mexico.,Target: Reduce poverty levels by 25% within 5 years.,"This policy aims to reduce poverty by enhancing rural development opportunities in Mexico. Target: Reduce poverty levels by 25% within 5 years. Implementation partners include UNDP, State Departments."
